Ref,Val,Package,PosX,PosY,Rot,Side
"J1","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",25.444110,86.912258,0.000000,top
"J2","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",54.696750,86.912258,0.000000,top
"J3","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",84.696750,86.912258,0.000000,top
"J4","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",114.696750,86.912258,0.000000,top
"J5","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",25.462740,56.912258,0.000000,top
"J6","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",54.715380,56.912258,0.000000,top
"J7","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",84.715380,56.912258,0.000000,top
"J8","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",114.715380,56.912258,0.000000,top
"J9","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",25.481370,27.418629,0.000000,top
"J10","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",54.734010,27.418629,0.000000,top
"J11","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",84.734010,27.418629,0.000000,top
"J12","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",114.734010,27.418629,0.000000,top
