Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","LOGO",25.981370,26.493629,180.000000,bottom
"G***","LOGO","LOGO",85.081370,56.393629,180.000000,bottom
"G***","LOGO","LOGO",54.731370,26.743629,180.000000,bottom
"G***","LOGO","LOGO",54.481370,56.493629,180.000000,bottom
"G***","LOGO","LOGO",115.981370,26.493629,180.000000,bottom
"G***","LOGO","LOGO",54.231370,86.243629,180.000000,bottom
"G***","LOGO","LOGO",25.231370,55.743629,180.000000,bottom
"G***","LOGO","LOGO",26.481370,85.993629,180.000000,bottom
"G***","LOGO","LOGO",85.181370,28.093629,180.000000,bottom
"G***","LOGO","LOGO",84.981370,87.093629,180.000000,bottom
"G***","LOGO","LOGO",114.731370,55.743629,180.000000,bottom
"G***","LOGO","LOGO",114.731370,86.743629,180.000000,bottom
"G***","LOGO","LOGO",54.481370,51.293629,0.000000,top
"G***","LOGO","LOGO",24.481370,51.293629,0.000000,top
"G***","LOGO","LOGO",24.481370,21.493629,0.000000,top
"G***","LOGO","LOGO",54.481370,81.093629,0.000000,top
"G***","LOGO","LOGO",54.481370,21.493629,0.000000,top
"G***","LOGO","LOGO",84.481370,21.493629,0.000000,top
"G***","LOGO","LOGO",24.481370,81.093629,0.000000,top
"G***","LOGO","LOGO",114.481370,81.093629,0.000000,top
"G***","LOGO","LOGO",84.481370,51.293629,0.000000,top
"G***","LOGO","LOGO",114.481370,51.293629,0.000000,top
"G***","LOGO","LOGO",84.481370,81.093629,0.000000,top
"G***","LOGO","LOGO",114.481370,21.493629,0.000000,top
"J1","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",25.444110,86.912258,0.000000,top
"J2","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",54.696750,86.912258,0.000000,top
"J3","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",84.696750,86.912258,0.000000,top
"J4","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",114.696750,86.912258,0.000000,top
"J5","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",25.462740,56.912258,0.000000,top
"J6","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",54.715380,56.912258,0.000000,top
"J7","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",84.715380,56.912258,0.000000,top
"J8","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",114.715380,56.912258,0.000000,top
"J9","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",25.481370,27.418629,0.000000,top
"J10","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",54.734010,27.418629,0.000000,top
"J11","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",84.734010,27.418629,0.000000,top
"J12","DF40C-70DP-0.4V(51)","HIROSE_DF40C70DP04V51",114.734010,27.418629,0.000000,top
